Num_Acc,id_vehicule,fixed_obstacle ,movable_obstacle,initial_shock,maneuver,motor,occupants_public_transport
201900000150,138 306 234,0,2,5,2,1,0.0
201900000151,138 306 231,0,2,1,1,5,0.0
201900000151,138 306 232,0,2,8,9,1,0.0
201900000152,138 306 229,0,2,2,19,1,0.0
201900000152,138 306 230,0,0,6,1,1,0.0
201900000153,138 306 228,16,0,3,1,1,0.0
201900000154,138 306 227,2,0,1,13,0,0.0
201900000155,138 306 225,0,1,2,1,1,0.0
201900000156,138 306 223,0,2,3,1,1,0.0
201900000156,138 306 224,0,2,1,17,1,0.0
201900000157,138 306 222,0,1,2,1,2,0.0
201900000158,138 306 221,13,0,3,13,1,0.0
201900000159,138 306 220,0,1,4,4,1,0.0
201900000160,138 306 219,6,0,8,1,1,0.0
201900000161,138 306 217,0,2,1,21,1,0.0
201900000161,138 306 218,0,2,7,15,1,0.0
201900000162,138 306 215,0,2,3,13,1,0.0
201900000162,138 306 216,0,2,3,1,1,0.0
201900000163,138 306 214,0,0,0,1,1,0.0
201900000164,138 306 212,0,2,3,1,1,0.0
201900000164,138 306 213,0,2,3,5,1,0.0
201900000165,138 306 211,0,0,0,1,1,0.0
201900000166,138 306 209,0,0,9,16,1,0.0
201900000167,138 306 208,13,0,1,1,6,0.0
201900000168,138 306 206,0,2,1,9,1,0.0
201900000168,138 306 207,0,2,3,2,1,0.0
201900000169,138 306 204,0,2,1,1,1,0.0
201900000169,138 306 205,0,0,2,19,1,0.0
201900000170,138 306 203,12,0,7,1,1,0.0
201900000171,138 306 201,0,2,7,15,1,0.0
201900000171,138 306 202,0,2,1,1,1,0.0
201900000172,138 306 199,0,2,3,5,1,0.0
201900000172,138 306 200,0,2,3,1,1,0.0
201900000173,138 306 197,0,2,4,9,1,0.0
201900000173,138 306 198,0,2,1,17,1,0.0
201900000174,138 306 196,0,1,6,4,1,0.0
201900000175,138 306 195,0,0,9,1,1,0.0
201900000176,138 306 193,0,2,1,2,0,0.0
201900000176,138 306 194,0,0,4,2,0,0.0
201900000177,138 306 190,13,0,8,14,1,0.0
201900000178,138 306 188,0,2,2,1,1,0.0
201900000178,138 306 189,0,2,3,1,1,0.0
201900000179,138 306 187,3,0,0,1,1,0.0
201900000180,138 306 185,0,0,5,2,1,0.0
201900000180,138 306 186,0,2,1,2,1,0.0
201900000181,138 306 182,0,2,0,1,5,0.0
201900000181,138 306 183,0,2,0,1,5,0.0
201900000181,138 306 184,0,2,7,17,1,0.0
201900000182,138 306 180,0,0,4,2,5,0.0
