Accident ID,road category,traffic regime,total number of traffic lanes,existence of reserved lanes,plan layout,surface condition,development - infrastructure,situation of the accident,maximum authorized speed at the scene and at the time of the accident
2.019E+11,3,2,4,0,1,1,0,4,50
2.019E+11,3,,4,0,1,1,4,1,50
2.019E+11,3,3,4,3,1,1,0,1,50
2.019E+11,3,2,6,2,1,1,0,1,10
2.019E+11,3,2,2,0,1,1,0,1,50
2.019E+11,9,2,3,0,1,2,0,1,50
"201900000459,9,""REPUBLIQUE (AVENUE DE LA """"COTE PAIRS"""",0,,2,2,0,1,0,0,1,,,2,0,1,50",,,,,,,,,
2.019E+11,3,3,4,0,1,1,0,1,50
2.019E+11,3,1,3,0,3,1,9,1,50
2.019E+11,4,2,2,0,1,1,0,2,50
2.019E+11,3,1,1,0,1,1,0,1,50
2.019E+11,3,,0,0,1,1,0,1,50
2.019E+11,4,1,0,0,3,1,5,1,50
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,9,,0,0,1,1,9,6,50
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,4,2,6,3,1,1,0,1,50
2.019E+11,3,2,2,0,2,3,9,2,50
2.019E+11,2,3,2,0,1,1,0,1,110
2.019E+11,3,2,2,0,1,1,0,1,50
2.019E+11,4,1,4,0,1,1,0,1,70
2.019E+11,4,,2,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,4,2,4,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,8,0,1,50
2.019E+11,4,2,4,0,1,1,0,1,50
2.019E+11,4,1,2,0,1,1,0,1,50
2.019E+11,4,1,1,0,1,1,0,1,50
2.019E+11,4,1,2,0,1,1,0,1,50
2.019E+11,4,2,4,0,1,1,0,1,50
2.019E+11,4,2,4,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,1,5,1,50
2.019E+11,4,2,5,3,1,1,,6,50
2.019E+11,2,2,4,0,1,1,5,1,50
2.019E+11,3,2,4,0,1,1,0,1,50
2.019E+11,4,3,4,0,1,1,0,1,50
2.019E+11,3,2,2,0,1,1,0,1,50
2.019E+11,4,3,1,0,1,2,0,1,50
2.019E+11,9,2,1,3,1,1,6,1,5
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,2,0,1,50
2.019E+11,4,2,2,0,1,1,0,1,30
2.019E+11,3,2,2,0,1,1,0,1,50
2.019E+11,3,1,1,0,1,1,0,1,20
2.019E+11,3,2,2,0,1,2,0,1,50
2.019E+11,3,3,3,0,1,1,9,1,50
2.019E+11,4,2,2,0,1,1,5,1,50
2.019E+11,4,2,3,0,1,1,0,1,50
2.019E+11,4,2,2,0,3,1,0,1,50
2.019E+11,3,2,8,0,1,2,0,1,50
2.019E+11,3,2,4,3,1,2,0,1,50
2.019E+11,4,1,1,0,1,1,0,1,50
2.019E+11,3,3,,0,1,1,0,1,50
