,Accident ID,road category,traffic regime,total number of traffic lanes,existence of reserved lanes,plan layout,surface condition,development - infrastructure,situation of the accident,maximum authorized speed at the scene and at the time of the accident
190,201900000191,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,110.0
191,201900000192,2.0,3.0,4.0,1.0,1.0,1.0,2.0,5.0,70.0
192,201900000193,1.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,130.0
193,201900000194,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,130.0
194,201900000195,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,90.0
195,201900000196,3.0,2.0,3.0,0.0,1.0,1.0,5.0,1.0,50.0
196,201900000197,4.0,1.0,1.0,0.0,1.0,1.0,9.0,1.0,50.0
197,201900000198,4.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,80.0
198,201900000199,1.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,
199,201900000200,1.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,130.0
200,201900000201,1.0,3.0,4.0,0.0,1.0,1.0,0.0,3.0,130.0
201,201900000202,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,70.0
202,201900000203,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
203,201900000204,1.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,30.0
204,201900000205,3.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,70.0
205,201900000206,1.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,130.0
206,201900000207,1.0,3.0,2.0,0.0,1.0,1.0,0.0,3.0,130.0
207,201900000208,1.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,50.0
208,201900000209,1.0,3.0,3.0,0.0,3.0,1.0,3.0,1.0,90.0
209,201900000210,2.0,2.0,2.0,0.0,2.0,1.0,0.0,8.0,50.0
210,201900000211,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,90.0
211,201900000212,6.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,50.0
212,201900000213,3.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,
213,201900000214,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,70.0
214,201900000215,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
215,201900000216,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
216,201900000217,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
217,201900000218,3.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,50.0
218,201900000219,3.0,2.0,2.0,0.0,3.0,1.0,5.0,1.0,50.0
219,201900000220,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
220,201900000221,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
221,201900000222,4.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,30.0
222,201900000223,3.0,2.0,2.0,0.0,1.0,1.0,9.0,1.0,50.0
223,201900000224,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
224,201900000225,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
225,201900000226,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,70.0
226,201900000227,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,70.0
227,201900000228,4.0,,2.0,0.0,1.0,9.0,0.0,3.0,80.0
228,201900000229,3.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,80.0
229,201900000230,3.0,2.0,2.0,0.0,2.0,1.0,5.0,1.0,80.0
230,201900000231,4.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,50.0
231,201900000232,4.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,50.0
232,201900000233,6.0,,,0.0,4.0,1.0,9.0,8.0,50.0
233,201900000234,2.0,2.0,2.0,0.0,2.0,1.0,9.0,1.0,70.0
234,201900000235,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
235,201900000236,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
236,201900000237,3.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,80.0
237,201900000238,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,50.0
238,201900000239,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
239,201900000240,1.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0,70.0
240,201900000241,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
241,201900000242,3.0,2.0,2.0,0.0,1.0,1.0,9.0,1.0,50.0
242,201900000243,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
243,201900000244,3.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,50.0
244,201900000245,3.0,2.0,2.0,0.0,4.0,1.0,0.0,1.0,50.0
245,201900000246,3.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,50.0
246,201900000247,3.0,2.0,2.0,0.0,1.0,1.0,9.0,1.0,80.0
247,201900000248,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,50.0
248,201900000249,3.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,50.0
249,201900000250,4.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,80.0
250,201900000251,4.0,2.0,2.0,0.0,1.0,2.0,0.0,4.0,50.0
251,201900000252,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
252,201900000253,3.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,50.0
253,201900000254,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
254,201900000255,2.0,3.0,4.0,0.0,2.0,1.0,0.0,3.0,110.0
255,201900000256,2.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,110.0
256,201900000257,4.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,30.0
257,201900000258,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
258,201900000259,3.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,80.0
259,201900000260,4.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,30.0
260,201900000261,7.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,80.0
261,201900000262,3.0,2.0,2.0,0.0,2.0,1.0,5.0,3.0,70.0
262,201900000263,3.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,80.0
263,201900000264,3.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,80.0
264,201900000265,9.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
265,201900000266,3.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,80.0
266,201900000267,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
267,201900000268,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,70.0
268,201900000269,2.0,3.0,4.0,0.0,1.0,1.0,0.0,2.0,110.0
269,201900000270,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
270,201900000271,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
271,201900000272,2.0,3.0,4.0,0.0,1.0,1.0,0.0,3.0,110.0
272,201900000273,3.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,80.0
273,201900000274,3.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,80.0
274,201900000275,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
275,201900000276,3.0,2.0,2.0,0.0,4.0,1.0,0.0,1.0,80.0
276,201900000277,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,80.0
277,201900000278,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
278,201900000279,4.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,80.0
279,201900000280,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
280,201900000281,3.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,80.0
281,201900000282,3.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,50.0
282,201900000283,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
283,201900000284,4.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,80.0
284,201900000285,4.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,80.0
285,201900000286,3.0,2.0,2.0,0.0,3.0,1.0,0.0,3.0,80.0
286,201900000287,3.0,2.0,2.0,0.0,1.0,1.0,5.0,4.0,70.0
287,201900000288,3.0,2.0,2.0,0.0,1.0,9.0,8.0,3.0,50.0
288,201900000289,3.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,50.0
289,201900000290,2.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,110.0
290,201900000291,3.0,2.0,2.0,0.0,1.0,1.0,9.0,3.0,70.0
291,201900000292,3.0,3.0,4.0,0.0,1.0,1.0,5.0,1.0,50.0
292,201900000293,3.0,2.0,2.0,0.0,3.0,1.0,0.0,5.0,50.0
293,201900000294,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
294,201900000295,3.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,80.0
295,201900000296,3.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,80.0
296,201900000297,3.0,2.0,2.0,0.0,2.0,1.0,5.0,1.0,80.0
297,201900000298,3.0,2.0,2.0,0.0,3.0,1.0,9.0,8.0,80.0
298,201900000299,2.0,2.0,4.0,0.0,1.0,2.0,0.0,1.0,110.0
299,201900000300,3.0,2.0,2.0,0.0,2.0,1.0,0.0,8.0,80.0
300,201900000301,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,70.0
301,201900000302,3.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,50.0
302,201900000303,2.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,110.0
303,201900000304,3.0,3.0,2.0,0.0,2.0,1.0,0.0,3.0,70.0
304,201900000305,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
305,201900000306,4.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,50.0
306,201900000307,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
307,201900000308,4.0,2.0,2.0,0.0,1.0,1.0,9.0,1.0,30.0
308,201900000309,4.0,3.0,6.0,3.0,2.0,1.0,4.0,1.0,50.0
309,201900000310,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
310,201900000311,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
